AL, A7, 2010071906, 03, GPCC,  12,   0N,    0W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072000, 03, GPCC,  24,   0N,    0W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072000, 03, GPCC,  36,   0N,    0W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072000, 03, GPCC,  48,   0N,    0W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072000, 03, GPCC,  72,   0N,    0W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072000, 03, GPCC,  96,   0N,    0W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072000, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072006, 03, GPCC,  12,   0N,    0W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072006, 03, GPCC,  24,   0N,    0W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072006, 03, GPCC,  36,   0N,    0W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072006, 03, GPCC,  48,   0N,    0W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072006, 03, GPCC,  72,   0N,    0W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072006, 03, GPCC,  96,   0N,    0W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072006, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072012, 03, GPCC,  12, 197N,  679W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072012, 03, GPCC,  24, 208N,  693W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072012, 03, GPCC,  36, 220N,  711W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072012, 03, GPCC,  48, 231N,  732W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072012, 03, GPCC,  72, 251N,  775W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072012, 03, GPCC,  96, 274N,  812W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072012, 03, GPCC, 120, 295N,  835W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072012, 03, TVCN,  12, 197N,  679W,  68,   38,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072012, 03, TVCN,  24, 208N,  693W,  68,   68,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072012, 03, TVCN,  36, 220N,  711W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072012, 03, TVCN,  48, 231N,  732W,  68,  116,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072012, 03, TVCN,  72, 251N,  775W,  68,  149,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072012, 03, TVCN,  96, 274N,  812W,  68,  187,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072012, 03, TVCN, 120, 295N,  835W,  68,  238,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072012, 03, TVCX,   0, 190N,  658W,  70,    0,   ,  76, AAA,    0,    0,    0,    0, 
AL, A7, 2010072012, 03, TVCX,  12, 198N,  679W,  70,   37,   ,  63, AAA,   40,   36,    2,    0, 
AL, A7, 2010072012, 03, TVCX,  24, 209N,  693W,  70,   71,   ,  54, AAA,   56,   91,    5,   -1, 
AL, A7, 2010072012, 03, TVCX,  36, 222N,  710W,  70,  101,   ,  59, AAA,   70,  146,    8,   -5, 
AL, A7, 2010072012, 03, TVCX,  48, 235N,  730W,  70,  125,   ,  65, AAA,   85,  183,   13,  -10, 
AL, A7, 2010072012, 03, TVCX,  72, 257N,  771W,  70,  150,   ,  61, AAA,  139,  162,   20,  -19, 
AL, A7, 2010072012, 03, TVCX,  96, 281N,  807W,  70,  193,   ,  56, AAA,  173,  217,   18,  -32, 
AL, A7, 2010072012, 03, TVCX, 120, 300N,  824W,  70,  246,   ,  30, AAA,  250,  243,    0,  -65, 
AL, A7, 2010072018, 03, GPCC,  12, 203N,  706W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072018, 03, GPCC,  24, 213N,  729W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072018, 03, GPCC,  36, 225N,  751W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072018, 03, GPCC,  48, 240N,  775W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072018, 03, GPCC,  72, 266N,  832W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072018, 03, GPCC,  96, 290N,  877W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072018, 03, GPCC, 120, 321N,  883W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072018, 03, TVCN,  12, 203N,  706W,  68,   56,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072018, 03, TVCN,  24, 213N,  729W,  68,   89,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072018, 03, TVCN,  36, 225N,  751W,  68,  116,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072018, 03, TVCN,  48, 240N,  775W,  68,  137,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072018, 03, TVCN,  72, 266N,  832W,  68,  183,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072018, 03, TVCN,  96, 290N,  877W,  68,  251,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072018, 03, TVCN, 120, 321N,  883W,  68,  259,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072018, 03, TVCX,   0, 195N,  682W,  70,    0,   ,  73, AAA,    0,    0,    0,    0, 
AL, A7, 2010072018, 03, TVCX,  12, 204N,  706W,  70,   49,   ,  69, AAA,   43,   58,    2,    0, 
AL, A7, 2010072018, 03, TVCX,  24, 214N,  729W,  70,   78,   ,  64, AAA,   76,   81,    5,   -1, 
AL, A7, 2010072018, 03, TVCX,  36, 227N,  751W,  70,   99,   ,  60, AAA,   93,  107,    8,   -5, 
AL, A7, 2010072018, 03, TVCX,  48, 242N,  773W,  70,  122,   ,  62, AAA,  115,  130,   13,  -10, 
AL, A7, 2010072018, 03, TVCX,  72, 272N,  828W,  70,  150,   ,  65, AAA,  158,  142,   20,  -19, 
AL, A7, 2010072018, 03, TVCX,  96, 297N,  872W,  70,  194,   ,  56, AAA,  229,  166,   18,  -32, 
AL, A7, 2010072018, 03, TVCX, 120, 314N,  873W,  70,  247,   , 321, AAA,  255,  240,    0,  -65, 
AL, A7, 2010072100, 03, GPCC,  12, 206N,  706W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072100, 03, GPCC,  24, 219N,  726W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072100, 03, GPCC,  36, 232N,  751W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072100, 03, GPCC,  48, 245N,  781W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072100, 03, GPCC,  72, 269N,  842W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072100, 03, GPCC,  96, 292N,  882W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072100, 03, GPCC, 120, 326N,  893W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072100, 03, TVCN,  12, 206N,  706W,  68,   53,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072100, 03, TVCN,  24, 219N,  726W,  68,   87,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072100, 03, TVCN,  36, 232N,  751W,  68,  114,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072100, 03, TVCN,  48, 245N,  781W,  68,  131,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072100, 03, TVCN,  72, 269N,  842W,  68,  168,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072100, 03, TVCN,  96, 292N,  882W,  68,  242,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072100, 03, TVCN, 120, 326N,  893W,  68,  260,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072100, 03, TVCX,   0, 198N,  685W,  70,    0,   ,  76, AAA,    0,    0,    0,    0, 
AL, A7, 2010072100, 03, TVCX,  12, 206N,  706W,  70,   47,   ,  64, AAA,   45,   50,    2,    0, 
AL, A7, 2010072100, 03, TVCX,  24, 219N,  726W,  70,   78,   ,  59, AAA,   75,   82,    5,   -1, 
AL, A7, 2010072100, 03, TVCX,  36, 235N,  750W,  70,  100,   ,  64, AAA,   88,  115,    8,   -5, 
AL, A7, 2010072100, 03, TVCX,  48, 249N,  779W,  70,  118,   ,  68, AAA,  104,  135,   13,  -10, 
AL, A7, 2010072100, 03, TVCX,  72, 275N,  839W,  70,  143,   ,  66, AAA,  146,  142,   20,  -19, 
AL, A7, 2010072100, 03, TVCX,  96, 298N,  876W,  70,  189,   ,  55, AAA,  219,  163,   18,  -32, 
AL, A7, 2010072100, 03, TVCX, 120, 323N,  881W,  70,  263,   , 343, AAA,  236,  294,    0,  -65, 
AL, A7, 2010072106, 03, GPCC,  12, 212N,  703W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072106, 03, GPCC,  24, 229N,  725W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072106, 03, GPCC,  36, 246N,  754W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072106, 03, GPCC,  48, 259N,  785W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072106, 03, GPCC,  72, 282N,  837W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072106, 03, GPCC,  96, 308N,  865W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072106, 03, GPCC, 120, 334N,  863W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072106, 03, TVCN,  12, 212N,  703W,  68,   47,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072106, 03, TVCN,  24, 229N,  725W,  68,   83,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072106, 03, TVCN,  36, 246N,  754W,  68,  101,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072106, 03, TVCN,  48, 259N,  785W,  68,  112,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072106, 03, TVCN,  72, 282N,  837W,  68,  146,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072106, 03, TVCN,  96, 308N,  865W,  68,  177,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072106, 03, TVCN, 120, 334N,  863W,  68,  223,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072106, 03, TVCX,   0, 200N,  684W,  70,    0,   ,  59, AAA,    0,    0,    0,    0, 
AL, A7, 2010072106, 03, TVCX,  12, 212N,  702W,  70,   43,   ,  55, AAA,   42,   46,    2,    0, 
AL, A7, 2010072106, 03, TVCX,  24, 230N,  725W,  70,   77,   ,  56, AAA,   68,   88,    5,   -1, 
AL, A7, 2010072106, 03, TVCX,  36, 248N,  753W,  70,   97,   ,  64, AAA,   75,  128,    8,   -5, 
AL, A7, 2010072106, 03, TVCX,  48, 262N,  783W,  70,  119,   ,  68, AAA,   87,  166,   13,  -10, 
AL, A7, 2010072106, 03, TVCX,  72, 288N,  833W,  70,  143,   ,  58, AAA,  131,  158,   20,  -19, 
AL, A7, 2010072106, 03, TVCX,  96, 311N,  856W,  70,  180,   ,  26, AAA,  168,  193,   18,  -32, 
AL, A7, 2010072106, 03, TVCX, 120, 325N,  856W,  70,  248,   , 302, AAA,  221,  279,    0,  -65, 
AL, A7, 2010072112, 03, GPCC,  12, 213N,  723W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072112, 03, GPCC,  24, 230N,  749W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072112, 03, GPCC,  36, 241N,  778W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072112, 03, GPCC,  48, 248N,  806W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072112, 03, GPCC,  72, 291N,  848W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072112, 03, GPCC,  96, 326N,  859W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072112, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072112, 03, TVCN,  12, 213N,  723W,  68,   58,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072112, 03, TVCN,  24, 230N,  749W,  68,  101,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072112, 03, TVCN,  36, 241N,  778W,  68,  137,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072112, 03, TVCN,  48, 248N,  806W,  68,  177,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072112, 03, TVCN,  72, 291N,  848W,  68,  168,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072112, 03, TVCN,  96, 326N,  859W,  68,  239,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072112, 03, TVCX,   0, 200N,  700W,  70,    0,   ,  63, AAA,    0,    0,    0,    0, 
AL, A7, 2010072112, 03, TVCX,  12, 213N,  723W,  70,   46,   ,  59, AAA,   51,   42,    2,    0, 
AL, A7, 2010072112, 03, TVCX,  24, 230N,  748W,  70,   82,   ,  63, AAA,   91,   75,    5,   -1, 
AL, A7, 2010072112, 03, TVCX,  36, 243N,  778W,  70,  107,   ,  73, AAA,  114,  102,    8,   -5, 
AL, A7, 2010072112, 03, TVCX,  48, 251N,  804W,  70,  145,   ,  64, AAA,  144,  146,   13,  -10, 
AL, A7, 2010072112, 03, TVCX,  72, 295N,  842W,  70,  151,   ,  42, AAA,  145,  158,   20,  -19, 
AL, A7, 2010072112, 03, TVCX,  96, 334N,  859W,  70,  177,   ,  91, AAA,  237,  133,   18,  -32, 
AL, A7, 2010072118, 03, GPCC,  12, 226N,  735W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072118, 03, GPCC,  24, 241N,  763W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072118, 03, GPCC,  36, 253N,  797W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072118, 03, GPCC,  48, 261N,  834W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072118, 03, GPCC,  72, 310N,  867W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072118, 03, GPCC,  96, 339N,  884W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072118, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072118, 03, TVCN,  12, 226N,  735W,  68,   56,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072118, 03, TVCN,  24, 241N,  763W,  68,   92,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072118, 03, TVCN,  36, 253N,  797W,  68,  127,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072118, 03, TVCN,  48, 261N,  834W,  68,  165,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072118, 03, TVCN,  72, 310N,  867W,  68,  125,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072118, 03, TVCN,  96, 339N,  884W,  68,  188,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072118, 03, TVCX,   0, 213N,  714W,  70,    0,   ,  56, AAA,    0,    0,    0,    0, 
AL, A7, 2010072118, 03, TVCX,  12, 226N,  735W,  70,   44,   ,  60, AAA,   52,   39,    2,    0, 
AL, A7, 2010072118, 03, TVCX,  24, 241N,  762W,  70,   75,   ,  66, AAA,   86,   67,    5,   -1, 
AL, A7, 2010072118, 03, TVCX,  36, 255N,  797W,  70,  101,   ,  76, AAA,  107,   97,    8,   -5, 
AL, A7, 2010072118, 03, TVCX,  48, 265N,  832W,  70,  122,   ,  67, AAA,  145,  104,   13,  -10, 
AL, A7, 2010072118, 03, TVCX,  72, 313N,  860W,  70,  118,   ,  31, AAA,  132,  106,   20,  -19, 
AL, A7, 2010072118, 03, TVCX,  96, 347N,  884W,  70,  136,   ,  92, AAA,  204,   92,   18,  -32, 
AL, A7, 2010072200, 03, GPCC,  12, 225N,  750W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072200, 03, GPCC,  24, 241N,  781W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072200, 03, GPCC,  36, 254N,  815W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072200, 03, GPCC,  48, 262N,  848W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072200, 03, GPCC,  72, 287N,  895W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072200, 03, GPCC,  96, 310N,  926W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072200, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072200, 03, TVCN,  12, 225N,  750W,  68,   44,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072200, 03, TVCN,  24, 241N,  781W,  68,   69,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072200, 03, TVCN,  36, 254N,  815W,  68,   91,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072200, 03, TVCN,  48, 262N,  848W,  68,  108,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072200, 03, TVCN,  72, 287N,  895W,  68,  163,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072200, 03, TVCN,  96, 310N,  926W,  68,  212,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072200, 03, TVCX,   0, 214N,  728W,  70,    0,   ,  65, AAA,    0,    0,    0,    0, 
AL, A7, 2010072200, 03, TVCX,  12, 226N,  750W,  70,   41,   ,  63, AAA,   40,   44,    2,    0, 
AL, A7, 2010072200, 03, TVCX,  24, 242N,  780W,  70,   69,   ,  66, AAA,   63,   76,    5,   -1, 
AL, A7, 2010072200, 03, TVCX,  36, 256N,  814W,  70,   87,   ,  73, AAA,   78,   98,    8,   -5, 
AL, A7, 2010072200, 03, TVCX,  48, 267N,  847W,  70,  104,   ,  77, AAA,  102,  108,   13,  -10, 
AL, A7, 2010072200, 03, TVCX,  72, 292N,  891W,  70,  129,   ,  50, AAA,  155,  109,   20,  -19, 
AL, A7, 2010072200, 03, TVCX,  96, 315N,  918W,  70,  156,   ,  32, AAA,  215,  113,   18,  -32, 
AL, A7, 2010072206, 03, GPCC,  12, 224N,  765W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072206, 03, GPCC,  24, 236N,  795W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072206, 03, GPCC,  36, 248N,  827W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072206, 03, GPCC,  48, 259N,  857W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072206, 03, GPCC,  72, 285N,  910W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072206, 03, GPCC,  96, 308N,  937W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072206, 03, GPCC, 120,   0N,    0W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072206, 03, TVCN,  12, 224N,  765W,  68,   46,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072206, 03, TVCN,  24, 236N,  795W,  68,   74,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072206, 03, TVCN,  36, 248N,  827W,  68,   97,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072206, 03, TVCN,  48, 259N,  857W,  68,  108,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072206, 03, TVCN,  72, 285N,  910W,  68,  150,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072206, 03, TVCN,  96, 308N,  937W,  68,  218,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010072206, 03, TVCX,   0, 213N,  740W,  70,    0,   ,  65, AAA,    0,    0,    0,    0, 
AL, A7, 2010072206, 03, TVCX,  12, 224N,  764W,  70,   44,   ,  67, AAA,   39,   51,    2,    0, 
AL, A7, 2010072206, 03, TVCX,  24, 237N,  794W,  70,   73,   ,  69, AAA,   63,   86,    5,   -1, 
AL, A7, 2010072206, 03, TVCX,  36, 250N,  827W,  70,   94,   ,  70, AAA,   75,  119,    8,   -5, 
AL, A7, 2010072206, 03, TVCX,  48, 263N,  856W,  70,  110,   ,  69, AAA,   95,  128,   13,  -10, 
AL, A7, 2010072206, 03, TVCX,  72, 291N,  906W,  70,  125,   ,  55, AAA,  146,  109,   20,  -19, 
AL, A7, 2010072206, 03, TVCX,  96, 310N,  927W,  70,  186,   ,  11, AAA,  201,  172,   18,  -32, 
