AL, B8, 2010083100, 03, GPCC,  12,   0N,    0W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083112, 03, TVCN,  12, 109N,  308W,  68,   60,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083112, 03, TVCN,  24, 109N,  312W,  68,   78,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083112, 03, TVCN,  36, 108N,  304W,  68,   84,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083112, 03, TVCX,   0, 110N,  295W,  70,    0,   ,  96, AAA,    0,    0,    0,    0, 
AL, B8, 2010083112, 03, TVCX,  12, 109N,  308W,  70,   54,   ,  94, AAA,   42,   71,    2,    0, 
AL, B8, 2010083112, 03, TVCX,  24, 109N,  313W,  70,   70,   , 182, AAA,   77,   65,    5,   -1, 
AL, B8, 2010083112, 03, TVCX,  36, 111N,  304W,  70,   85,   ,  90, AAA,   86,   84,    8,   -5, 
AL, B8, 2010083118, 03, GPCC,  12, 120N,  324W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083118, 03, GPCC,  24, 124N,  332W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083118, 03, GPCC,  36, 127N,  333W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083118, 03, GPCC,  48, 131N,  374W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083118, 03, GPCC,  72, 134N,  399W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083118, 03, GPCC,  96, 141N,  430W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083118, 03, GPCC, 120, 150N,  479W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083118, 03, TVCN,  12, 120N,  324W,  68,   38,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083118, 03, TVCN,  24, 124N,  332W,  68,   97,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083118, 03, TVCN,  36, 127N,  333W,  68,  180,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083118, 03, TVCN,  48, 131N,  374W,  68,   96,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083118, 03, TVCN,  72, 134N,  399W,  68,  147,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083118, 03, TVCN,  96, 141N,  430W,  68,  206,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083118, 03, TVCN, 120, 150N,  479W,  68,  245,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083118, 03, TVCX,   0, 120N,  310W,  70,    0,   ,  90, AAA,    0,    0,    0,    0, 
AL, B8, 2010083118, 03, TVCX,  12, 121N,  324W,  70,   41,   ,  85, AAA,   37,   46,    2,    0, 
AL, B8, 2010083118, 03, TVCX,  24, 124N,  331W,  70,   85,   ,  26, AAA,   89,   82,    5,   -1, 
AL, B8, 2010083118, 03, TVCX,  36, 129N,  332W,  70,  157,   ,  56, AAA,  124,  200,    8,   -5, 
AL, B8, 2010083118, 03, TVCX,  48, 135N,  374W,  70,  113,   ,  85, AAA,   90,  143,   13,  -10, 
AL, B8, 2010083118, 03, TVCX,  72, 140N,  398W,  70,  158,   ,  79, AAA,  151,  167,   20,  -19, 
AL, B8, 2010083118, 03, TVCX,  96, 149N,  428W,  70,  218,   ,  77, AAA,  195,  245,   18,  -32, 
AL, B8, 2010083118, 03, TVCX, 120, 161N,  477W,  70,  302,   ,  82, AAA,  181,  505,    0,  -65, 
AL, B8, 2010090100, 03, GPCC,  12, 123N,  337W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090100, 03, GPCC,  24, 124N,  346W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090100, 03, GPCC,  36, 123N,  350W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090100, 03, GPCC,  48, 122N,  355W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090100, 03, GPCC,  72, 130N,  359W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090100, 03, GPCC,  96, 146N,  486W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090100, 03, GPCC, 120, 162N,  531W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090100, 03, TVCN,  12, 123N,  337W,  68,   55,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090100, 03, TVCN,  24, 124N,  346W,  68,  116,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090100, 03, TVCN,  36, 123N,  350W,  68,  191,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090100, 03, TVCN,  48, 122N,  355W,  68,  259,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090100, 03, TVCN,  72, 130N,  359W,  68,  451,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090100, 03, TVCN,  96, 146N,  486W,  68,  171,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090100, 03, TVCN, 120, 162N,  531W,  68,  219,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090100, 03, TVCX,   0, 122N,  321W,  70,    0,   ,  90, AAA,    0,    0,    0,    0, 
AL, B8, 2010090100, 03, TVCX,  12, 123N,  337W,  70,   51,   ,  87, AAA,   38,   68,    2,    0, 
AL, B8, 2010090100, 03, TVCX,  24, 125N,  345W,  70,  101,   ,  52, AAA,   91,  113,    5,   -1, 
AL, B8, 2010090100, 03, TVCX,  36, 125N,  350W,  70,  161,   , 104, AAA,  106,  246,    8,   -5, 
AL, B8, 2010090100, 03, TVCX,  48, 124N,  358W,  70,  196,   , 146, AAA,  228,  169,   13,  -10, 
AL, B8, 2010090100, 03, TVCX,  72, 132N,  353W,  70,  260,   ,  14, AAA,  379,  179,   20,  -19, 
AL, B8, 2010090100, 03, TVCX,  96, 154N,  485W,  70,  158,   ,  84, AAA,  216,  117,   18,  -32, 
AL, B8, 2010090100, 03, TVCX, 120, 172N,  528W,  70,  241,   ,  72, AAA,  207,  282,    0,  -65, 
AL, B8, 2010090106, 03, GPCC,  12, 127N,  350W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090106, 03, GPCC,  24, 126N,  357W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090106, 03, GPCC,  36, 124N,  355W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090106, 03, GPCC,  48, 123N,  356W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090106, 03, GPCC,  72, 131N,  366W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090106, 03, GPCC,  96, 144N,  470W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090106, 03, GPCC, 120, 156N,  516W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090106, 03, TVCN,  12, 127N,  350W,  68,   64,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090106, 03, TVCN,  24, 126N,  357W,  68,  136,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090106, 03, TVCN,  36, 124N,  355W,  68,  210,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090106, 03, TVCN,  48, 123N,  356W,  68,  286,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090106, 03, TVCN,  72, 131N,  366W,  68,  399,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090106, 03, TVCN,  96, 144N,  470W,  68,  195,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090106, 03, TVCN, 120, 156N,  516W,  68,  246,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090106, 03, TVCX,   0, 125N,  335W,  70,    0,   ,  82, AAA,    0,    0,    0,    0, 
AL, B8, 2010090106, 03, TVCX,  12, 127N,  350W,  70,   56,   ,  82, AAA,   43,   74,    2,    0, 
AL, B8, 2010090106, 03, TVCX,  24, 127N,  357W,  70,  110,   , 105, AAA,   64,  193,    5,   -1, 
AL, B8, 2010090106, 03, TVCX,  36, 122N,  356W,  70,  177,   , 234, AAA,  147,  214,    8,   -5, 
AL, B8, 2010090106, 03, TVCX,  48, 123N,  352W,  70,  185,   ,  13, AAA,  260,  132,   13,  -10, 
AL, B8, 2010090106, 03, TVCX,  72, 137N,  364W,  70,  323,   ,  70, AAA,  211,  496,   20,  -19, 
AL, B8, 2010090106, 03, TVCX,  96, 151N,  467W,  70,  177,   ,  73, AAA,  236,  133,   18,  -32, 
AL, B8, 2010090106, 03, TVCX, 120, 166N,  514W,  70,  229,   ,  80, AAA,  261,  202,    0,  -65, 
AL, B8, 2010090112, 03, GPCC,  12, 125N,  365W,  68,   36,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090112, 03, GPCC,  24, 124N,  373W,  68,   72,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090112, 03, GPCC,  36, 121N,  382W,  68,  100,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090112, 03, GPCC,  48, 119N,  388W,  68,  129,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090112, 03, GPCC,  72, 132N,  437W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090112, 03, GPCC,  96, 137N,  477W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090112, 03, GPCC, 120, 145N,  516W,  68,  356,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090112, 03, TVCN,  12, 125N,  365W,  68,   66,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090112, 03, TVCN,  24, 124N,  373W,  68,  118,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090112, 03, TVCN,  36, 121N,  382W,  68,  142,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090112, 03, TVCN,  48, 119N,  388W,  68,  175,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090112, 03, TVCN,  72, 132N,  437W,  68,  192,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090112, 03, TVCN,  96, 137N,  477W,  68,  266,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090112, 03, TVCN, 120, 145N,  516W,  68,  353,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010090112, 03, TVCX,   0, 123N,  352W,  70,    0,   ,  80, AAA,    0,    0,    0,    0, 
AL, B8, 2010090112, 03, TVCX,  12, 125N,  365W,  70,   56,   ,  70, AAA,   49,   66,    2,    0, 
AL, B8, 2010090112, 03, TVCX,  24, 125N,  373W,  70,  100,   , 102, AAA,   65,  155,    5,   -1, 
AL, B8, 2010090112, 03, TVCX,  36, 123N,  382W,  70,  130,   , 106, AAA,   92,  185,    8,   -5, 
AL, B8, 2010090112, 03, TVCX,  48, 123N,  389W,  70,  164,   , 100, AAA,  120,  224,   13,  -10, 
AL, B8, 2010090112, 03, TVCX,  72, 138N,  435W,  70,  186,   ,  79, AAA,  174,  201,   20,  -19, 
AL, B8, 2010090112, 03, TVCX,  96, 145N,  475W,  70,  247,   ,  81, AAA,  254,  241,   18,  -32, 
AL, B8, 2010090112, 03, TVCX, 120, 155N,  513W,  70,  319,   ,  76, AAA,  281,  363,    0,  -65, 
