AL, 86, 2014070718,   , BEST,   0, 278N,  696W, 120,  944, HU,  34, NEQ,  180,  160,  150,  180, 
AL, 86, 2014070718,   , BEST,   0, 278N,  696W, 120,  944, HU,  50, NEQ,   95,   90,   75,   95, 
AL, 86, 2014070718,   , BEST,   0, 278N,  696W, 120,  944, HU,  64, NEQ,   40,   40,   30,   40, 
AL, 86, 2014070800,   , BEST,   0, 286N,  704W, 120,  944, HU,  34, NEQ,  180,  160,  150,  180, 
AL, 86, 2014070800,   , BEST,   0, 286N,  704W, 120,  944, HU,  50, NEQ,   95,   90,   75,   95, 
AL, 86, 2014070800,   , BEST,   0, 286N,  704W, 120,  944, HU,  64, NEQ,   40,   40,   30,   40, 
AL, 86, 2014070806,   , BEST,   0, 295N,  708W, 120,  944, HU,  34, NEQ,  180,  160,  150,  180, 
AL, 86, 2014070806,   , BEST,   0, 295N,  708W, 120,  944, HU,  50, NEQ,   95,   90,   75,   90, 
AL, 86, 2014070806,   , BEST,   0, 295N,  708W, 120,  944, HU,  64, NEQ,   40,   40,   30,   40, 
AL, 86, 2014070812,   , BEST,   0, 304N,  708W, 120,  944, HU,  34, NEQ,  180,  160,  150,  180, 1008,  240,  20, 145,   0,   L,   0,    ,   0,   0,       RYAN, D, 
AL, 86, 2014070812,   , BEST,   0, 304N,  708W, 120,  944, HU,  50, NEQ,   95,   90,   75,   95, 1008,  240,  20, 145,   0,   L,   0,    ,   0,   0,       RYAN, D, 
AL, 86, 2014070812,   , BEST,   0, 304N,  708W, 120,  944, HU,  64, NEQ,   40,   40,   30,   40, 1008,  240,  20, 145,   0,   L,   0,    ,   0,   0,       RYAN, D, 
