AL, 78, 2013050112, 03, OFCL,   0, 276N,  868W,  75,    0, HU,  34, NEQ,  180,  180,   70,   90,    0,    0,   0,  90,  20,    ,   0, MJB,  30,   7, 
AL, 78, 2013050112, 03, OFCL,   0, 276N,  868W,  75,    0, HU,  50, NEQ,   70,   60,   40,   70,    0,    0,   0,  90,  20,    ,   0, MJB,  30,   7, 
AL, 78, 2013050112, 03, OFCL,   0, 276N,  868W,  75,    0, HU,  64, NEQ,   30,   30,   20,   30,    0,    0,   0,  90,  20,    ,   0, MJB,  30,   7, 
AL, 78, 2013050112, 03, OFCL,   3, 278N,  871W,  75,  975, HU,  34, NEQ,  180,  180,   70,   90,    0,    0,   0,  90,  20,    ,   0, MJB, 305,   7,           ,  , 12, NEQ,  180,  180,   70,   90
AL, 78, 2013050112, 03, OFCL,   3, 278N,  871W,  75,  975, HU,  50, NEQ,   70,   60,   40,   70,    0,    0,   0,  90,  20,    ,   0, MJB, 305,   7,           ,  , 12, NEQ,  180,  180,   70,   90
AL, 78, 2013050112, 03, OFCL,   3, 278N,  871W,  75,  975, HU,  64, NEQ,   30,   30,   20,   30,    0,    0,   0,  90,  20,    ,   0, MJB, 305,   7,           ,  , 12, NEQ,  180,  180,   70,   90
AL, 78, 2013050112, 03, OFCL,  12, 282N,  880W,  85,    0, HU,  34, NEQ,  180,  170,   90,  120,    0,    0,   0, 105,  20,    ,   0, MJB, 295,   6, 
AL, 78, 2013050112, 03, OFCL,  12, 282N,  880W,  85,    0, HU,  50, NEQ,   80,   60,   50,   80,    0,    0,   0, 105,  20,    ,   0, MJB, 295,   6, 
AL, 78, 2013050112, 03, OFCL,  12, 282N,  880W,  85,    0, HU,  64, NEQ,   40,   30,   30,   40,    0,    0,   0, 105,  20,    ,   0, MJB, 295,   6, 
AL, 78, 2013050112, 03, OFCL,  24, 286N,  891W,  95,    0, HU,  34, NEQ,  170,  160,  110,  130,    0,    0,   0, 115,  20,    ,   0, MJB, 295,   5, 
